club,date,country,League,Tier
Pr. Münster,2002-11-20,Germany,Regionalliga West,Tier 4
Exeter City,1957-04-30,England,Third Division South,Tier 4
Ferencváros,2010-05-25,Hungary,Nemzeti Bajnokság I,Tier 1
Oxford United,2018-03-22,England,EFL League Two,Tier 3
Oxford United,2014-03-21,England,League Two,Tier 4
Salisbury,2013-06-13,England,National League South,Tier 4
Bristol Rovers,1968-06-30,England,Fourth Division,Tier 4
Lincoln City,2019-09-21,England,EFL League Two,Tier 4
Lincoln City,2014-12-07,England,Football League Two,Tier 3
Lincoln U18,2009-06-30,England,Academy League,Tier 4
Lincoln City,2009-09-29,England,League Two,Tier 4
Doncaster U18,2019-06-30,England,English Football League,Tier 3
Gillingham FC,2014-05-06,England,League Two,Tier 4
Stockport,1976-05-01,England,English Football League (EFL) Division Three,Tier 3
Torquay,2013-04-29,England,Conference National,Tier 4
USM Alger,2011-10-23,Algeria,Caf Champions League,Tier 2
Cambridge Utd.,2003-12-31,England,Conference National,Tier 4
Stoke U18,2007-06-30,England,Premier League Academy,Tier 1
Exeter City,1967-04-30,England,Fourth Division,Tier 4
Middlesbrough,2020-08-18,England,Championship,Tier 2
Tranmere Rovers,2006-06-30,England,League Two,Tier 4
Heybridge Swift,2015-02-01,England,Isthmian League,Tier 4
Leyton Orient,2020-02-12,England,EFL League Two,Tier 4
Leyton Orient,2016-06-30,England,Football League Two,Tier 4
Santarcangelo,2018-03-26,Italy,Italian Serie D,Tier 4
Sampdoria,2011-06-09,Italy,Serie A,Tier 2
Leyton Orient,2016-04-12,England,National League,Tier 4
Leyton Orient,1996-06-30,England,Third Division,Tier 3
Notts County,2013-02-03,England,League Two,Tier 4
Everton,2007-12-02,England,Premier League,Tier 1
Northampton,2011-11-19,England,League Two,Tier 4
Northallerton,2008-01-02,England,Northern Premier League,Tier 5
Hucknall Town FC,2007-01-16,England,Northern Premier League,Tier 4
Espinho,20/6/2024,Portugal,Primeira Liga,Tier 1
Blackburn U18,2015-06-30,England,Professional U18 Development League,Tier 2
Harrogate Town,2009-06-30,England,Conference National,Tier 3
Setúbal U19,2018-12-31,Portugal,Primeira Liga Juvenis,Tier 2
Hereford Utd.,2014-03-19,England,Conference Premier,Tier 5
Port Vale,2008-09-22,England,League Two,Tier 4
Mansfield Town,2008-03-08,England,Football League Two,Tier 4
Port Vale,1983-12-04,England,Fourth Division,Tier 4
Chelmsford,1981-06-30,England,Conference National,Tier 4
Port Vale,1977-11-17,England,Fourth Division,Tier 4
Port Vale,1970-12-01,England,Fourth Division,Tier 4
Carlisle United,2021-10-10,England,EFL League Two,Tier 3
Derry City,2014-05-11,Northern Ireland,Ireland Premiership,Tier 3
Wrexham,2014-02-23,Wales,National League,Tier 5
Carlisle United,2002-07-01,England,Third Division (English football),Tier 4
Derby,2008-06-30,England,Championship,Tier 2
Stevenage,2021-11-08,England,EFL League Two,Tier 4
ATK,2018-01-24,India,Indian Super League,Tier 2
Stevenage,2016-02-01,England,League Two,Tier 4
Colorado,2011-11-07,USA,Major League Soccer,Tier 2
Walsall,2006-02-06,England,English Football League (EFL) Two,Tier 4
Walsall,1968-02-29,England,Fourth Division,Tier 4
Macclesfield,2004-02-28,England,League Two,Tier 4
Rhyl FC,2008-09-24,Wales,Welsh Premier League,Tier 2
Stockport County,2013-01-23,England,Conference Premier,Tier 5
Stockport,2013-01-27,England,Conference North,Tier 4
Gateshead,2012-12-10,England,Conference National,Tier 5
Al-Taawoun,2016-10-15,Saudi Arabia,Professional League,Tier 1
MK Dons,2011-02-02,England,League Two,Tier 4
Stockport,2010-06-30,England,Conference National,Tier 4
Stockport,1979-10-17,England,Football League Fourth Division,Tier 4
Hartlepool,2018-05-31,England,Conference Premier,Tier 4
Aldershot,2011-01-10,England,Conference National,Tier 4
Hednesford,2007-09-30,England,Northern Premier League,Tier 4
Oakham United,1989-06-30,England,English Football League Third Division,Tier 3
Boston Utd,2022-09-06,England,National League North,Tier 6
Bournemouth,1985-09-22,England,Second Division,Tier 2
Shrewsbury,1998-06-30,England,English Football League Third Division,Tier 3
Bicentennials,1977-12-31,Brazil,Série A,Tier 1
Nottingham U18,2016-06-30,England,English Football League,Tier 2
Chesterfield FC,2003-04-22,England,Conference National,Tier 4
Chesterfield FC,2000-04-07,England,Football League Two,Tier 4
Al-Khor SC,2017-11-01,Qatar,Qatari League,Tier 3
Al-Dhafra FC,2015-11-22,United Arab Emirates,UAE Arabian Gulf League,Tier 2
Monaco B,1997-07-01,France,Ligue 2,Tier 3
Oldham U18,2018-12-18,England,EFL Academy League,Tier 3
Corby,2022-04-24,England,Northern Premier League Division One South,Tier 4
Gateshead,2015-04-27,England,Conference National,Tier 6
Nuneaton,2014-03-19,England,Northern Premier League Division One South,Tier 3
Wrexham,1989-06-30,Wales,English Football League Fourth Division,Tier 4
West Brom Res.,2012-01-04,England,Championship,Tier 2
Bournemouth,2006-06-30,England,Championship,Tier 2
Hereford Utd.,1990-06-17,England,Fourth Division,Tier 4
Notts County,2018-06-30,England,EFL League Two,Tier 4
Bury,2019-05-31,England,English Football League Two,Tier 4
Notts County,2016-06-22,England,English Football League Two,Tier 4
Red Bull Salzburg,2011-04-08,Austria,Bundesliga,Tier 2
HJK Helsinki,2016-12-12,Finland,Veikkausliiga,Tier 3
Austria Salzburg,2001-09-10,Austria,Bundesliga,Tier 2
Rochdale,20-06-30,England,EFL League One,Tier 2
Rochdale,2013-01-21,England,League One,Tier 2
Preston,1995-06-30,England,English Third Division,Tier 4
Ebbsfleet,2018-11-07,England,National League South,Tier 4
Dagmar Red FC,2015-12-21,Norway,Eliteserien,Tier 1
Brentford,2005-01-04,England,Championship,Tier 2
Dag Heward Mills Red FC,2004-03-01,Norway,Tippeligaen,Tier 2
Bury,2009-01-21,England,Football League One,Tier 3
Crawley Town,2023-01-10,England,League Two,Tier 4
England U18,2021-08-02,England,English Football League Under 18 Academy Group,Tier 3
England U17,2020-09-23,England,UEFA Youth League,Tier 1
Udinese Calcio,2021-12-06,Italy,Serie A,Tier 1
Gainsborough,2002-04-23,England,Conference National,Tier 4
Ramsbottom,2014-12-31,England,Non League Divisions,Tier 5
Swansea,2019-06-30,Wales,EFL Championship,Tier 2
Hungary U23,1941-07-31,Hungary,Mitropa Cup,Tier 2
Harrogate Town,2011-06-01,England,Conference National,Tier 4
Barrow,2017-10-16,England,National League,Tier 5
Ipswich,2017-10-12,England,EFL Championship,Tier 2
Rochdale,2020-06-30,England,EFL League One,Tier 2
Barrow,2015-11-22,England,National League,Tier 4
Bahrain U23,2013-08-13,Bahrain,Gulf Cup of Nations,Tier 4
Fourway,1999-12-31,South Africa,National First Division,Tier 2
Shaw Lane,2017-11-11,England,Northern Premier League,Tier 4
Grantham,2022-03-13,England,Non League,Tier 5
Boston Utd,2006-06-30,England,Conference National,Tier 4
RSC Anderlecht,2020-02-04,Belgium,Pro League,Tier 1
Chester City,1995-01-01,England,Third Division,Tier 4
Rush Limbaugh's Diamond Dynasty FC,2009-02-13,United States,Major Arena Soccer League,Tier 2
Burnley,2017-01-31,England,EFL Championship,Tier 2
Macclesfield,2012-04-29,England,Football League Two,Tier 4
Macclesfield,2003-10-26,England,Conference National,Tier 4
Barnet,2018-05-14,England,National League,Tier 5
Barnet,2011-06-30,England,League Two,Tier 4
Hemel Hempstead Town FC,2001-11-01,England,Conference National,Tier 5
Woking,2017-06-30,England,National League,Tier 4
Brechin City,2019-08-19,Scotland,Scottish Football League Third Division,Tier 4
Aldershot,2016-05-01,England,Conference Premier,Tier 4
Southampton,2013-06-30,England,Premier League,Tier 1
Dunfermline A.,2022-05-31,Scotland,Scottish Football League,Tier 3
York City,2016-10-10,England,National League North,Tier 4
York City,2015-11-04,England,Conference National,Tier 4
York City,2014-06-30,England,Conference Premier,Tier 3
Dep. La Coruña,2023-06-30,Spain,La Liga,Tier 1
CyD Leonesa,2018-06-30,Spain,La Liga,Tier 1
Castellón,2021-01-11,Spain,Segunda División B,Tier 2
Real Valladolid,2018-04-09,Spain,Segunda División,Tier 2
Albacete,2016-03-13,Spain,Segunda División,Tier 2
Alcorcón,2012-06-18,Spain,Segunda División,Tier 1
CD Leganés,2021-01-26,Spain,La Liga,Tier 1
Coimbra,2009-05-31,Portugal,Primeira Liga,Tier 1
Real Betis,202006-12-22,Spain,La Liga,Tier 1
São Paulo,1981-06-30,Brazil,Campeonato Paulista,Tier 4
Ourense,2002-06-30,Spain,Segunda División B,Tier 3
Alzira,2001-06-30,Spain,Segunda División B,Tier 3
Tarrasa,1974-06-30,Spain,La Liga,Tier 1
Real Zaragoza,1970-10-19,Spain,La Liga,Tier 1
Granada CF,1985-03-04,Spain,La Liga,Tier 1
Castellón,1983-06-30,Spain,Segunda División B,Tier 2
Burgos CF,1975-06-30,Spain,Segunda División,Tier 2
U. de Chile,1982-12-31,Chile,Primera División Chilena,Tier 1
UD Las Palmas,1991-06-30,Spain,Segunda División,Tier 2
Cádiz CF,1980-06-30,Spain,La Liga,Tier 1
Real Zaragoza,1968-11-18,Spain,La Liga,Tier 1
Rayo Vallecano,1967-06-30,Spain,La Liga,Tier 1
Real Murcia,1960-09-18,Spain,La Liga,Tier 1
CE L'Hospitalet,1965-02-08,Spain,La Liga,Tier 1
Milan,1964-03-03,Italy,Serie A,Tier 1
Fabril,1949-06-30,Portugal,Primeira Divisão,Tier 1
Real Betis,201963-06-30,Spain,La Liga,Tier 1
Sevilla FC,1961-03-10,Spain,La Liga,Tier 1
AS Roma,1973-04-10,Italy,Serie A,Tier 1
Deportivo Coruña,1940-06-30,Spain,La Liga,Tier 1
Sabadell,1963-02-20,Spain,Segunda División,Tier 2
San Andrés,1946-06-30,Argentina,Argentine Primera División,Tier 1
RC Celta,1927-06-30,Spain,La Liga,Tier 1
Athletic,2017-06-30,Spain,La Liga,Tier 1
Paris SG,20/5/2025,France,Ligue 1,Tier 1
Barcelona,2020-11-16,Spain,La Liga,Tier 1
Barça Youth,1985-06-30,Spain,La Liga Juvenil,Tier 2
RCD Mallorca,2001-06-30,Spain,La Liga,Tier 1
Atlético Madrid,1978-11-07,Spain,La Liga,Tier 1
Independiente,2005-04-19,Argentina,Argentine Primera División,Tier 1
Independiente,1999-08-23,Argentina,Argentine Primera División,Tier 1
Sampdoria,1997-11-20,Italy,Serie A,Tier 1
Al-Hilal,1984-06-30,Saudi Arabia,Professional League,Tier 1
Barcelona,1980-11-05,Spain,La Liga,Tier 1
FC Zürich,1967-02-08,Switzerland,Swiss Super League,Tier 1
Burgos CF,1978-06-30,Spain,La Liga,Tier 1
Lérida,1966-12-11,Spain,Segunda División,Tier 2
Real Zaragoza,1969-06-30,Spain,La Liga,Tier 1
Real Betis,201967-11-10,Spain,La Liga,Tier 1
Sabadell,1935-06-30,Spain,Segunda División,Tier 2
Chile,1950-06-30,Chile,Primera División de Chile,Tier 2
Valladolid,1946-06-30,Spain,La Liga,Tier 1
Mestre,1958-06-30,Portugal,Primeira Divisão,Tier 1
AC Thiene,1950-06-30,Italy,Serie A,Tier 1
Indauchu,1966-02-13,Spain,La Liga,Tier 1
Real Betis,201959-11-15,Spain,La Liga,Tier 1
Feijenoord,1939-06-30,Netherlands,Eredivisie,Tier 1
Unknown,1927-12-31,Wales,English First Division,Tier 2
First Vienna FC,1925-12-31,Austria,Mitropacup,Tier 2
Unknown,1930-06-19,England,First Division,Tier 2
Újpest,1928-06-30,Hungary,NB I,Tier 1
Sporting Gijón,2018-11-18,Spain,La Liga Segunda División,Tier 2
Valencia,2012-12-06,Spain,La Liga,Tier 1
AC Pisa,2017-06-30,Italy,Serie C,Tier 3
AC Pisa,2016-07-31,Italy,Serie C,Tier 3
Man Utd,2012-06-30,England,Premier League,Tier 1
San Lorenzo,2013-12-31,Argentina,Argentine Primera División,Tier 1
Linares,2024-06-30,Spain,Segunda División B,Tier 3
Pune City,2017-09-15,India,I-League,Tier 2
Atlético Madrid,1978-10-10,Spain,La Liga,Tier 1
Valencia,1981-06-30,Spain,La Liga,Tier 1
Valencia CF,1976-06-30,Spain,La Liga,Tier 1
Athletic,1979-06-30,Spain,La Liga,Tier 1
Atlético Madrid,1971-11-01,Spain,La Liga,Tier 1
Valencia,1977-02-21,Spain,La Liga,Tier 1
Aris Saloniki,1970-12-30,Greece,Alpha Ethniki,Tier 1
Valencia,1965-06-30,Spain,La Liga,Tier 1
FAR Rabat,1973-01-06,Morocco,Botola,Tier 2
Sevilla FC,1967-01-01,Spain,La Liga,Tier 1
Real Oviedo,1961-03-06,Spain,Segunda División,Tier 2
Sevilla FC,1964-06-30,Spain,La Liga,Tier 1
Real Madrid,1946-06-30,Spain,La Liga,Tier 1
Spain,1945-05-31,Spain,La Liga,Tier 1
Valencia,1946-06-30,Spain,La Liga,Tier 1
Dinamo Leningrad,1937-01-01,Soviet Union,Russian Football Championship,Tier 1
Valencia,1931-06-30,Spain,La Liga,Tier 1
Elche,1928-06-30,Spain,Segunda División,Tier 2
UD Salamanca,2008-06-23,Spain,La Liga,Tier 1
CD Torrevieja,2001-06-30,Spain,Segunda División B,Tier 3
Zaragoza Juv. A,2020-07-22,Spain,La Liga,Tier 1
CD Sariñena,2013-10-13,Spain,Segunda División B,Tier 2
 Córdoba CF,2011-06-08,Spain,Segunda División B,Tier 2
Gimnàstic,20/01/23,Spain,Segunda División,Tier 2
Real Zaragoza,2016-10-24,Spain,La Liga,Tier 1
RCD Mallorca,2014-05-19,Spain,La Liga,Tier 1
Terek Grozny,2011-01-17,Russia,Russian Premier League,Tier 2
Celta de Vigo,2013-02-18,Spain,La Liga,Tier 1
Liverpool,2006-06-30,England,Premier League,Tier 1
Al-Rayyan SC,2014-06-30,Qatar,Qatari League,Tier 1
Rayo Vallecano,2005-06-30,Spain,La Liga,Tier 1
UD Salamanca,1998-06-30,Spain,Segunda División B,Tier 3
Udinese,1984-06-30,Italy,Serie A,Tier 1
Sparta R.,2014-02-26,Czech Republic,1. Liga,Tier 2
Újpest FC,2011-11-01,Hungary,NB I,Tier 2
Feyenoord,2011-01-24,Netherlands,Eredivisie,Tier 2
Perugia,1999-06-30,Italy,Serie B,Tier 2
Real Zaragoza,1972-06-30,Spain,La Liga,Tier 1
Athletic Bilbao,1969-06-30,Spain,La Liga,Tier 1
Paris FC,1972-12-31,France,Ligue 1,Tier 1
Ol. Avignon,1972-06-30,France,Ligue 2,Tier 3
Olympique Lyon,1968-06-30,France,French Division 1,Tier 1
Real Jaén CF,1958-06-30,Spain,Segunda División,Tier 2
Real Murcia,1964-11-02,Spain,Segunda División,Tier 2
Valladolid,1963-06-30,Spain,La Liga,Tier 1
Real Madrid,2008-12-09,Spain,La Liga,Tier 1
Getafe,2007-07-08,Spain,La Liga,Tier 1
Xerez CD,2003-06-10,Spain,Segunda División,Tier 2
England,2012-02-08,England,Euro Cup 2012,Tier 1
Milan,1998-06-30,Italy,Serie A,Tier 1
Milan,1996-06-30,Italy,Serie A,Tier 1
Oman,2016-11-28,Oman,Gulf Cup of Nations,Tier 3
Celta de Vigo,2008-03-11,Spain,La Liga,Tier 1
Santos,2004-12-31,Brazil,Campeonato Brasileiro,Tier 1
Porto,1993-07-31,Portugal,Primeira Liga,Tier 1
Portugal U20,1991-07-31,Portugal,UEFA European Under-20 Championship,Tier 2
LD Alajuelense,2017-08-21,Costa Rica,Liga Dominicana,Tier 2
Barcelona SC,2009-06-01,Spain,La Liga,Tier 1
Real Madrid,1994-03-07,Spain,La Liga,Tier 1
CD Dénia,1984-06-30,Spain,Segunda División,Tier 2
Real Madrid,1982-06-30,Spain,La Liga,Tier 1
UD Las Palmas,1970-01-26,Spain,La Liga,Tier 1
Real Madrid,1974-01-13,Spain,La Liga,Tier 1
CA Osasuna,1963-11-30,Spain,La Liga,Tier 1
Benfica,1939-06-30,Portugal,Primeira Liga,Tier 1
Getafe,2014-03-10,Spain,La Liga,Tier 1
Levante,2011-06-07,Spain,La Liga,Tier 1
Benidorm,2008-06-30,Spain,La Liga,Tier 1
Poli Ejido U19,2009-06-30,Spain,Tercera División,Tier 4
Bilbao B,2000-06-30,Spain,La Liga,Tier 1
Sporting Gijón,2023-01-15,Spain,Segunda División B,Tier 2
Sporting U19,2008-06-30,Portugal,Primeira Liga Júnior,Tier 2
CD Numancia,2013-06-20,Spain,Segunda División B,Tier 4
CyD Leonesa,2015-06-30,Spain,Segunda División B,Tier 2
Torino,2008-12-08,Italy,Serie A,Tier 2
Modena,2003-06-30,Italy,Serie C1,Tier 4
Cosenza,1997-06-30,Italy,Serie C1,Tier 2
Alavés,2015-06-30,Spain,La Liga,Tier 1
CyD Leonesa,2006-06-30,Spain,Segunda División A,Tier 2
Zamora CF,2001-06-30,Spain,Segunda División B,Tier 2
CD Numancia,2021-01-18,Spain,Segunda División,Tier 2
Poli Ejido,2003-11-24,Spain,Segunda División A,Tier 2
Deportivo Alavés,2006-09-06,Spain,La Liga,Tier 1
Burgos CF,2006-06-30,Spain,Segunda División B,Tier 3
Elche CF,1996-12-03,Spain,Segunda División,Tier 2
Alavés,2005-08-18,Spain,La Liga,Tier 1
UE Figueres,1987-02-24,Spain,Segunda División,Tier 2
Barcelona,1982-06-30,Spain,La Liga,Tier 1
Granada CF,1984-11-27,Spain,La Liga,Tier 1
Granada CF,1980-06-30,Spain,La Liga,Tier 1
Hércules CF,1972-01-02,Spain,La Liga,Tier 1
Orense,1963-06-30,Spain,Segunda División,Tier 2
Athletic,1947-11-10,Spain,La Liga,Tier 1
Celta de Vigo,2019-03-03,Spain,La Liga,Tier 1
Buriram Utd.,2014-04-09,Thailand,Thai League,Tier 3
CD Leganés,2004-01-18,Spain,Segunda División,Tier 2
CD Logroñés,1997-02-10,Spain,Segunda División,Tier 2
CD Logroñés,1989-03-14,Spain,Segunda División,Tier 2
Atlético Madrid,1988-10-06,Spain,La Liga,Tier 1
Rouen,1977-10-31,France,Ligue 1,Tier 2
Real Murcia,1979-05-21,Spain,Segunda División,Tier 2
Celta de Vigo,1962-06-30,Spain,La Liga,Tier 1
Español,1957-06-30,Spain,La Liga,Tier 1
RS Gimnástica,1948-06-30,Uruguay,Primera División,Tier 1
China U15,2018-09-01,China,Chinese Youth Football League,Tier 3
Real Sociedad,2000-10-23,Spain,La Liga,Tier 1
CP Mérida,1997-02-21,Spain,Segunda División,Tier 2
CD Toledo,1999-06-30,Spain,Segunda División B,Tier 3
Real Valladolid,1986-09-01,Spain,La Liga,Tier 1
Cobreloa,1984-12-31,Chile,Primera División de Chile,Tier 2
Valladolid,1993-01-25,Spain,La Liga,Tier 1
Mallorca,1973-01-21,Spain,La Liga,Tier 1
Millonarios,1998-12-31,Argentina,Argentine Primera División,Tier 1
Valladolid,1992-04-06,Spain,La Liga,Tier 1
Colombia,1990-06-30,Columbia,Copa America,Tier 1
Lebanon,2000-10-01,Unknown,N/A,N/A
BJ Guoan,2008-07-13,China,Chinese Super League,Tier 1
Hertha BSC,1986-04-18,Germany,Bundesliga,Tier 1
FC Luzern,1961-08-22,Switzerland,Nationalliga A,Tier 2
San Andrés,1973-06-30,Spain,Segunda División,Tier 2
Pontevedra,1971-06-30,Spain,Segunda División,Tier 2
Honvéd SE,1957-01-31,Hungary,NB I,Tier 1
UD Almería B,2013-06-30,Spain,Segunda División,Tier 2
UD Salamanca,2003-06-30,Spain,La Liga,Tier 1
Racing,2001-10-04,Spain,La Liga,Tier 1
Hércules CF,2008-06-30,Spain,La Liga,Tier 1
Albacete,2008-02-23,Spain,Segunda División,Tier 2
Talavera CF,1999-03-21,Spain,Segunda División B,Tier 3
UD Sanse,1995-06-30,Spain,Segunda División B,Tier 2
Racing Murcia,2020-10-16,Spain,Segunda División,Tier 2
Albacete,2010-06-26,Spain,Segunda División,Tier 2
Rayo Vallecano,1971-02-15,Spain,La Liga,Tier 1
Castilla CF,1974-06-30,Spain,Segunda División,Tier 2
Rayo Vallecano,1972-12-31,Spain,La Liga,Tier 1
CD Tudelano,2021-10-14,Spain,Segunda División B,Tier 2
BJ Guoan,2012-11-18,China,Chinese Football Association Jia League,Tier 3
Paços Ferreira,1994-05-09,Portugal,Primeira Liga,Tier 1
FC Baniyas,2005-12-12,United Arab Emirates,UAE Pro League,Tier 2
Asteras Tripoli,2009-10-25,Greece,Super League Greece,Tier 2
RCD Mallorca,1994-11-07,Spain,La Liga,Tier 1
RCD Mallorca,1981-12-31,Spain,La Liga,Tier 2
Eldense,1974-06-30,Norway,Eliteserien,Tier 1
Eldense,1988-06-30,Norway,Tippeligaen,Tier 2
Sevilla FC,1957-12-31,Spain,La Liga,Tier 1
Mallorca,1949-06-30,Spain,La Liga,Tier 1
CA Osasuna Prom,2006-05-23,Spain,Segunda División B,Tier 2
Real Sociedad,2006-01-30,Spain,La Liga,Tier 1
SCD Durango,1989-12-11,Mexico,Liga MX,Tier 1
